414992,901914,B,B,B,U
415948,437487,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,U,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,U,A,U,S,S,S,S,S,S,A,A,A,A,A,U,A,A,U,S,U,B,U,S,U,S,U,S,U,B,U,S,U,S,U,B,B,B,B,B,U,B,B,S,S,U,B,B,B,U,B,B,S,S,U,S,U,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
421341,312644,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,U,A,B,B,B,B,U,B,B,B,B,B,B,B,B,B,B,B,B
425099,288497,U,A,B,B
430545,168694,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,U,B,B,B,B,B,B,B,U,B,B,B,B,B,B,B,B,B,B,B,B,B,B,U,B,B,B,B,B,B,B,B,B,U,A,B,B,B,B,B,U,B,B,B,B,B,U,B,A,B,B,B,B,B,B,B,B,B,B,U,B,U,B,U,B,B,U,B,U,A,B,B,B,B,B,B,B,U,A,U,A,U,B,B,B,B,U,B,B,B,B,B,B,U,B,B,U,B,A,U,B,U,B,B,B,U,B,U,B,U,B,U,B,U,B,B,A,A,U,B,B,A,A,A,A,U,S,U,A,B,A,U,A,A,U,S,U,A,U,S,S,S,B,A,U,A,A,U,A,A,A,U,B,U,B,A,U,A,U,B,A,U,S,U,A,U,B,A,A,B,U,A,U,S,U,S,U,A,U,B,B,A,A,A,U,A,U,A,A,U,S,A,A,B,U,A,A,U,A,B,A,S,U,B,A,U,A,U,A,U,A,U,B,A,U,S,U,S,A,U,B,A,U,A,U,A,U,A,U,A,U,S,U,S,U,B,A,U,A,B,U,B,B,U,B,U,B,U,B,U,B,B,U,S,B,A,U,B,U,A,B,B,U,B,B,B,B,U,B,B,B,U,B,B,B,B,U,B,B,B,B,B,B,U,B,B,B,U,B,B,B,B,B,B,B,B,B,B,U,B,B,B,B,B,B,U,B,U,S,U,A,U,B,A,U,B,U,A,U,B,U,A,U,A,B,B,U,A,U,B,U,B,U,A,B,A,B,B,B,B,B,B,B,B,B,B,U,B,B,B,B,U,A,U,B,B,U,B,B,B,U,B,B,U,B,U,B,U,B,U,B,U,A,B,B,U,A,U,A,B,B,U,B,B,B,B,B,B,B,U,B,B,A,U,B,B,B,B,B,B,B,B,B,B,B,B,B,B,U,A,U,B,U,B,U,B,B,B,B,B,B,B,B
439108,1366714,B,B,B,B,B,B,B,B,U,B,B,B
454503,3035375,A,A,A,A,A,U,B,U,B,A,A
456194,896163,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,U,S,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
466328,288864,B,B,B,B,B,B,B,U
474075,875864,S,S,U,S,S,U,S,U,S,U,A,U,A,A,B,U,A,U,B,B,A,U,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,U,B,B,B,B,B,B,U,A,B,B,B,B,U,B,B,A,S,U,B,U,B,B,B,B,B,B,B,B,B,B,B,B
476423,295975,U,B,U,B,U,B,B,B,S,U
